Points;Place;Candidate;Vote;Country;Name;Sex;Type
3;;Lionel Messi;Total;Papua New Guinea;;Men's;Player
5;;Lionel Messi;Total;Paraguay;;Men's;Player
5;;Lionel Messi;Total;Peru;;Men's;Player
3;;Lionel Messi;Total;Portugal;;Men's;Player
3;;Lionel Messi;Total;Puerto Rico;;Men's;Player
3;;Lionel Messi;Total;Qatar;;Men's;Player
1;;Lionel Messi;Total;Republic of Ireland;;Men's;Player
2;;Lionel Messi;Total;Romania;;Men's;Player
1;;Lionel Messi;Total;Rwanda;;Men's;Player
8;;Lionel Messi;Total;Samoa;;Men's;Player
8;;Lionel Messi;Total;San Marino;;Men's;Player
5;;Lionel Messi;Total;São Tomé and Príncipe;;Men's;Player
1;;Lionel Messi;Total;Scotland;;Men's;Player
10;;Lionel Messi;Total;Serbia;;Men's;Player
6;;Lionel Messi;Total;Sierra Leone;;Men's;Player
1;;Lionel Messi;Total;Slovakia;;Men's;Player
10;;Lionel Messi;Total;Slovenia;;Men's;Player
13;;Lionel Messi;Total;Solomon Islands;;Men's;Player
5;;Lionel Messi;Total;Spain;;Men's;Player
6;;Lionel Messi;Total;St Lucia;;Men's;Player
1;;Lionel Messi;Total;St Vincent and the Grenadines;;Men's;Player
3;;Lionel Messi;Total;Sudan;;Men's;Player
4;;Lionel Messi;Total;Suriname;;Men's;Player
3;;Lionel Messi;Total;Sweden;;Men's;Player
6;;Lionel Messi;Total;Tahiti;;Men's;Player
1;;Lionel Messi;Total;Tajikistan;;Men's;Player
8;;Lionel Messi;Total;Thailand;;Men's;Player
5;;Lionel Messi;Total;Timor-Leste;;Men's;Player
1;;Lionel Messi;Total;Trinidad and Tobago;;Men's;Player
4;;Lionel Messi;Total;Tunisia;;Men's;Player
10;;Lionel Messi;Total;Turkmenistan;;Men's;Player
1;;Lionel Messi;Total;Turks and Caicos Islands;;Men's;Player
1;;Lionel Messi;Total;Uganda;;Men's;Player
1;;Lionel Messi;Total;United Arab Emirates;;Men's;Player
7;;Lionel Messi;Total;Uruguay;;Men's;Player
3;;Lionel Messi;Total;US Virgin Islands;;Men's;Player
1;;Lionel Messi;Total;USA;;Men's;Player
10;;Lionel Messi;Total;Uzbekistan;;Men's;Player
6;;Lionel Messi;Total;Vanuatu;;Men's;Player
3;;Lionel Messi;Total;Venezuela;;Men's;Player
3;;Lionel Messi;Total;Vietnam;;Men's;Player
3;;Lionel Messi;Total;Wales;;Men's;Player
5;;Lionel Messi;Total;Zambia;;Men's;Player
1;;Mohamed Salah;Total;Antigua and Barbuda;;Men's;Player
1;;Mohamed Salah;Total;Australia;;Men's;Player
3;;Mohamed Salah;Total;Azerbaijan;;Men's;Player
5;;Mohamed Salah;Total;Bahrain;;Men's;Player
3;;Mohamed Salah;Total;Barbados;;Men's;Player
1;;Mohamed Salah;Total;Benin;;Men's;Player
1;;Mohamed Salah;Total;Bhutan;;Men's;Player
3;;Mohamed Salah;Total;Bosnia and Herzegovina;;Men's;Player
1;;Mohamed Salah;Total;Botswana;;Men's;Player
2;;Mohamed Salah;Total;British Virgin Islands;;Men's;Player
1;;Mohamed Salah;Total;Bulgaria;;Men's;Player
1;;Mohamed Salah;Total;Burundi;;Men's;Player
1;;Mohamed Salah;Total;Cambodia;;Men's;Player
1;;Mohamed Salah;Total;Chile;;Men's;Player
1;;Mohamed Salah;Total;Comoros;;Men's;Player
1;;Mohamed Salah;Total;Congo DR;;Men's;Player
3;;Mohamed Salah;Total;Costa Rica;;Men's;Player
4;;Mohamed Salah;Total;Croatia;;Men's;Player
3;;Mohamed Salah;Total;Cyprus;;Men's;Player
1;;Mohamed Salah;Total;Djibouti;;Men's;Player
1;;Mohamed Salah;Total;Dominica;;Men's;Player
3;;Mohamed Salah;Total;Ecuador;;Men's;Player
15;;Mohamed Salah;Total;Egypt;;Men's;Player
1;;Mohamed Salah;Total;Equatorial Guinea;;Men's;Player
1;;Mohamed Salah;Total;Eritrea;;Men's;Player
1;;Mohamed Salah;Total;Estonia;;Men's;Player
7;;Mohamed Salah;Total;Fiji;;Men's;Player
1;;Mohamed Salah;Total;Gambia;;Men's;Player
3;;Mohamed Salah;Total;Ghana;;Men's;Player
1;;Mohamed Salah;Total;Greece;;Men's;Player
1;;Mohamed Salah;Total;Guatemala;;Men's;Player
5;;Mohamed Salah;Total;Guinea;;Men's;Player
1;;Mohamed Salah;Total;Guyana;;Men's;Player
1;;Mohamed Salah;Total;Hong Kong;;Men's;Player
3;;Mohamed Salah;Total;India;;Men's;Player
4;;Mohamed Salah;Total;Indonesia;;Men's;Player
3;;Mohamed Salah;Total;IR Iran;;Men's;Player
6;;Mohamed Salah;Total;Iraq;;Men's;Player
3;;Mohamed Salah;Total;Japan;;Men's;Player
5;;Mohamed Salah;Total;Jordan;;Men's;Player
3;;Mohamed Salah;Total;Kenya;;Men's;Player
3;;Mohamed Salah;Total;Korea DPR;;Men's;Player
1;;Mohamed Salah;Total;Kuwait;;Men's;Player
5;;Mohamed Salah;Total;Kyrgyz Republic;;Men's;Player
8;;Mohamed Salah;Total;Lebanon;;Men's;Player
2;;Mohamed Salah;Total;Libya;;Men's;Player
5;;Mohamed Salah;Total;Maldives;;Men's;Player
4;;Mohamed Salah;Total;Mali;;Men's;Player
4;;Mohamed Salah;Total;Mauritania;;Men's;Player
3;;Mohamed Salah;Total;Mongolia;;Men's;Player
2;;Mohamed Salah;Total;Morocco;;Men's;Player
3;;Mohamed Salah;Total;Mozambique;;Men's;Player
1;;Mohamed Salah;Total;Myanmar;;Men's;Player
8;;Mohamed Salah;Total;Namibia;;Men's;Player
10;;Mohamed Salah;Total;Nepal;;Men's;Player
3;;Mohamed Salah;Total;Netherlands;;Men's;Player
2;;Mohamed Salah;Total;North Macedonia;;Men's;Player
3;;Mohamed Salah;Total;Oman;;Men's;Player
7;;Mohamed Salah;Total;Palestine;;Men's;Player
1;;Mohamed Salah;Total;Poland;;Men's;Player
6;;Mohamed Salah;Total;Qatar;;Men's;Player
3;;Mohamed Salah;Total;Republic of Ireland;;Men's;Player
3;;Mohamed Salah;Total;Rwanda;;Men's;Player
1;;Mohamed Salah;Total;São Tomé and Príncipe;;Men's;Player
3;;Mohamed Salah;Total;Saudi Arabia;;Men's;Player
1;;Mohamed Salah;Total;Senegal;;Men's;Player
1;;Mohamed Salah;Total;Seychelles;;Men's;Player
3;;Mohamed Salah;Total;Singapore;;Men's;Player
4;;Mohamed Salah;Total;South Sudan;;Men's;Player
5;;Mohamed Salah;Total;Sri Lanka;;Men's;Player
1;;Mohamed Salah;Total;Switzerland;;Men's;Player
10;;Mohamed Salah;Total;Syria;;Men's;Player
5;;Mohamed Salah;Total;Tajikistan;;Men's;Player
3;;Mohamed Salah;Total;Tanzania;;Men's;Player
1;;Mohamed Salah;Total;Thailand;;Men's;Player
1;;Mohamed Salah;Total;Togo;;Men's;Player
10;;Mohamed Salah;Total;Tunisia;;Men's;Player
3;;Mohamed Salah;Total;Turkey;;Men's;Player
6;;Mohamed Salah;Total;Uganda;;Men's;Player
2;;Mohamed Salah;Total;United Arab Emirates;;Men's;Player
5;;Mohamed Salah;Total;US Virgin Islands;;Men's;Player
3;;Mohamed Salah;Total;Uzbekistan;;Men's;Player
1;;Mohamed Salah;Total;Vietnam;;Men's;Player
1;;Mohamed Salah;Total;Wales;;Men's;Player
4;;Mohamed Salah;Total;Yemen;;Men's;Player
1;;Mohamed Salah;Total;Zambia;;Men's;Player
1;;Mohamed Salah;Total;Zimbabwe;;Men's;Player
3;;Neymar;Total;Algeria;;Men's;Player
1;;Neymar;Total;Angola;;Men's;Player
3;;Neymar;Total;Anguilla;;Men's;Player
6;;Neymar;Total;Argentina;;Men's;Player
3;;Neymar;Total;Armenia;;Men's;Player
2;;Neymar;Total;Belize;;Men's;Player
3;;Neymar;Total;Bolivia;;Men's;Player
3;;Neymar;Total;Bosnia and Herzegovina;;Men's;Player
10;;Neymar;Total;Brazil;;Men's;Player
1;;Neymar;Total;Burkina Faso;;Men's;Player
3;;Neymar;Total;Cabo Verde;;Men's;Player
3;;Neymar;Total;Cambodia;;Men's;Player
3;;Neymar;Total;Cook Islands;;Men's;Player
1;;Neymar;Total;Côte d'Ivoire;;Men's;Player
1;;Neymar;Total;Dominican Republic;;Men's;Player
4;;Neymar;Total;Ecuador;;Men's;Player
1;;Neymar;Total;Fiji;;Men's;Player
5;;Neymar;Total;Ghana;;Men's;Player
6;;Neymar;Total;Guyana;;Men's;Player
1;;Neymar;Total;Hungary;;Men's;Player
1;;Neymar;Total;Italy;;Men's;Player
3;;Neymar;Total;Japan;;Men's;Player
1;;Neymar;Total;Kenya;;Men's;Player
5;;Neymar;Total;Korea DPR;;Men's;Player
3;;Neymar;Total;Lesotho;;Men's;Player
3;;Neymar;Total;Lithuania;;Men's;Player
1;;Neymar;Total;Montenegro;;Men's;Player
2;;Neymar;Total;Niger;;Men's;Player
8;;Neymar;Total;Paraguay;;Men's;Player
4;;Neymar;Total;Peru;;Men's;Player
3;;Neymar;Total;Philippines;;Men's;Player
6;;Neymar;Total;Poland;;Men's;Player
1;;Neymar;Total;Portugal;;Men's;Player
3;;Neymar;Total;Romania;;Men's;Player
3;;Neymar;Total;Samoa;;Men's;Player
3;;Neymar;Total;São Tomé and Príncipe;;Men's;Player
1;;Neymar;Total;Serbia;;Men's;Player
1;;Neymar;Total;Singapore;;Men's;Player
4;;Neymar;Total;Solomon Islands;;Men's;Player
1;;Neymar;Total;South Sudan;;Men's;Player
1;;Neymar;Total;Spain;;Men's;Player
4;;Neymar;Total;Sri Lanka;;Men's;Player
3;;Neymar;Total;St Lucia;;Men's;Player
1;;Neymar;Total;Sudan;;Men's;Player
3;;Neymar;Total;Tajikistan;;Men's;Player
1;;Neymar;Total;Uruguay;;Men's;Player
1;;Neymar;Total;US Virgin Islands;;Men's;Player
3;;Neymar;Total;Uzbekistan;;Men's;Player
1;;Neymar;Total;Vanuatu;;Men's;Player
3;;Neymar;Total;Venezuela;;Men's;Player
1;;Neymar;Total;Vietnam;;Men's;Player
4;;Neymar;Total;Yemen;;Men's;Player
15;;Robert Lewandowski;Total;Afghanistan;;Men's;Player
9;;Robert Lewandowski;Total;Albania;;Men's;Player
15;;Robert Lewandowski;Total;Algeria;;Men's;Player
11;;Robert Lewandowski;Total;Andorra;;Men's;Player
13;;Robert Lewandowski;Total;Angola;;Men's;Player
5;;Robert Lewandowski;Total;Anguilla;;Men's;Player
8;;Robert Lewandowski;Total;Antigua and Barbuda;;Men's;Player
6;;Robert Lewandowski;Total;Argentina;;Men's;Player
13;;Robert Lewandowski;Total;Armenia;;Men's;Player
15;;Robert Lewandowski;Total;Aruba;;Men's;Player
13;;Robert Lewandowski;Total;Australia;;Men's;Player
13;;Robert Lewandowski;Total;Austria;;Men's;Player
15;;Robert Lewandowski;Total;Azerbaijan;;Men's;Player
15;;Robert Lewandowski;Total;Bahamas;;Men's;Player
6;;Robert Lewandowski;Total;Bahrain;;Men's;Player
10;;Robert Lewandowski;Total;Bangladesh;;Men's;Player
10;;Robert Lewandowski;Total;Barbados;;Men's;Player
15;;Robert Lewandowski;Total;Belarus;;Men's;Player
13;;Robert Lewandowski;Total;Belgium;;Men's;Player
3;;Robert Lewandowski;Total;Belize;;Men's;Player
6;;Robert Lewandowski;Total;Benin;;Men's;Player
11;;Robert Lewandowski;Total;Bermuda;;Men's;Player
1;;Robert Lewandowski;Total;Bhutan;;Men's;Player
6;;Robert Lewandowski;Total;Bolivia;;Men's;Player
15;;Robert Lewandowski;Total;Bosnia and Herzegovina;;Men's;Player
5;;Robert Lewandowski;Total;Botswana;;Men's;Player
9;;Robert Lewandowski;Total;Brazil;;Men's;Player
5;;Robert Lewandowski;Total;Brunei Darussalam;;Men's;Player
13;;Robert Lewandowski;Total;Bulgaria;;Men's;Player
15;;Robert Lewandowski;Total;Burkina Faso;;Men's;Player
13;;Robert Lewandowski;Total;Burundi;;Men's;Player
5;;Robert Lewandowski;Total;Cabo Verde;;Men's;Player
5;;Robert Lewandowski;Total;Cambodia;;Men's;Player
8;;Robert Lewandowski;Total;Cameroon;;Men's;Player
15;;Robert Lewandowski;Total;Canada;;Men's;Player
10;;Robert Lewandowski;Total;Cayman Islands;;Men's;Player
2;;Robert Lewandowski;Total;Central African Republic;;Men's;Player
15;;Robert Lewandowski;Total;Chile;;Men's;Player
15;;Robert Lewandowski;Total;China PR;;Men's;Player
5;;Robert Lewandowski;Total;Chinese Taipei;;Men's;Player
10;;Robert Lewandowski;Total;Colombia;;Men's;Player
3;;Robert Lewandowski;Total;Comoros;;Men's;Player
10;;Robert Lewandowski;Total;Congo;;Men's;Player
5;;Robert Lewandowski;Total;Congo DR;;Men's;Player
10;;Robert Lewandowski;Total;Costa Rica;;Men's;Player
10;;Robert Lewandowski;Total;Côte d'Ivoire;;Men's;Player
15;;Robert Lewandowski;Total;Croatia;;Men's;Player
15;;Robert Lewandowski;Total;Cuba;;Men's;Player
5;;Robert Lewandowski;Total;Curaçao;;Men's;Player
11;;Robert Lewandowski;Total;Cyprus;;Men's;Player
13;;Robert Lewandowski;Total;Czech Republic;;Men's;Player
15;;Robert Lewandowski;Total;Denmark;;Men's;Player
10;;Robert Lewandowski;Total;Djibouti;;Men's;Player
5;;Robert Lewandowski;Total;Dominica;;Men's;Player
13;;Robert Lewandowski;Total;Dominican Republic;;Men's;Player
6;;Robert Lewandowski;Total;Ecuador;;Men's;Player
6;;Robert Lewandowski;Total;Egypt;;Men's;Player
15;;Robert Lewandowski;Total;El Salvador;;Men's;Player
15;;Robert Lewandowski;Total;England;;Men's;Player
3;;Robert Lewandowski;Total;Equatorial Guinea;;Men's;Player
10;;Robert Lewandowski;Total;Eritrea;;Men's;Player
13;;Robert Lewandowski;Total;Estonia;;Men's;Player
5;;Robert Lewandowski;Total;Eswatini;;Men's;Player
10;;Robert Lewandowski;Total;Ethiopia;;Men's;Player
10;;Robert Lewandowski;Total;Faroe Islands;;Men's;Player
8;;Robert Lewandowski;Total;Fiji;;Men's;Player
15;;Robert Lewandowski;Total;Finland;;Men's;Player
10;;Robert Lewandowski;Total;France;;Men's;Player
1;;Robert Lewandowski;Total;Gabon;;Men's;Player
5;;Robert Lewandowski;Total;Gambia;;Men's;Player
11;;Robert Lewandowski;Total;Georgia;;Men's;Player
15;;Robert Lewandowski;Total;Germany;;Men's;Player
3;;Robert Lewandowski;Total;Ghana;;Men's;Player
10;;Robert Lewandowski;Total;Gibraltar;;Men's;Player
15;;Robert Lewandowski;Total;Greece;;Men's;Player
6;;Robert Lewandowski;Total;Grenada;;Men's;Player
10;;Robert Lewandowski;Total;Guam;;Men's;Player
10;;Robert Lewandowski;Total;Guatemala;;Men's;Player
10;;Robert Lewandowski;Total;Guinea;;Men's;Player
3;;Robert Lewandowski;Total;Guinea-Bissau;;Men's;Player
3;;Robert Lewandowski;Total;Guyana;;Men's;Player
5;;Robert Lewandowski;Total;Haiti;;Men's;Player
9;;Robert Lewandowski;Total;Honduras;;Men's;Player
13;;Robert Lewandowski;Total;Hong Kong;;Men's;Player
13;;Robert Lewandowski;Total;Hungary;;Men's;Player
15;;Robert Lewandowski;Total;Iceland;;Men's;Player
10;;Robert Lewandowski;Total;India;;Men's;Player
13;;Robert Lewandowski;Total;Indonesia;;Men's;Player
10;;Robert Lewandowski;Total;IR Iran;;Men's;Player
10;;Robert Lewandowski;Total;Iraq;;Men's;Player
15;;Robert Lewandowski;Total;Israel;;Men's;Player
8;;Robert Lewandowski;Total;Italy;;Men's;Player
10;;Robert Lewandowski;Total;Jamaica;;Men's;Player
15;;Robert Lewandowski;Total;Japan;;Men's;Player
6;;Robert Lewandowski;Total;Jordan;;Men's;Player
15;;Robert Lewandowski;Total;Kazakhstan;;Men's;Player
8;;Robert Lewandowski;Total;Kenya;;Men's;Player
3;;Robert Lewandowski;Total;Korea DPR;;Men's;Player
15;;Robert Lewandowski;Total;Korea Republic;;Men's;Player
15;;Robert Lewandowski;Total;Kosovo;;Men's;Player
5;;Robert Lewandowski;Total;Kuwait;;Men's;Player
13;;Robert Lewandowski;Total;Kyrgyz Republic;;Men's;Player
6;;Robert Lewandowski;Total;Laos;;Men's;Player
15;;Robert Lewandowski;Total;Latvia;;Men's;Player
6;;Robert Lewandowski;Total;Lebanon;;Men's;Player
15;;Robert Lewandowski;Total;Lesotho;;Men's;Player
13;;Robert Lewandowski;Total;Liberia;;Men's;Player
15;;Robert Lewandowski;Total;Liechtenstein;;Men's;Player
10;;Robert Lewandowski;Total;Lithuania;;Men's;Player
10;;Robert Lewandowski;Total;Luxembourg;;Men's;Player
11;;Robert Lewandowski;Total;Macau;;Men's;Player
8;;Robert Lewandowski;Total;Madagascar;;Men's;Player
5;;Robert Lewandowski;Total;Malawi;;Men's;Player
5;;Robert Lewandowski;Total;Malaysia;;Men's;Player
5;;Robert Lewandowski;Total;Maldives;;Men's;Player
10;;Robert Lewandowski;Total;Mali;;Men's;Player
13;;Robert Lewandowski;Total;Malta;;Men's;Player
10;;Robert Lewandowski;Total;Mauritania;;Men's;Player
15;;Robert Lewandowski;Total;Mauritius;;Men's;Player
13;;Robert Lewandowski;Total;Mexico;;Men's;Player
15;;Robert Lewandowski;Total;Moldova;;Men's;Player
10;;Robert Lewandowski;Total;Mongolia;;Men's;Player
10;;Robert Lewandowski;Total;Montenegro;;Men's;Player
5;;Robert Lewandowski;Total;Montserrat;;Men's;Player
15;;Robert Lewandowski;Total;Morocco;;Men's;Player
3;;Robert Lewandowski;Total;Mozambique;;Men's;Player
5;;Robert Lewandowski;Total;Myanmar;;Men's;Player
5;;Robert Lewandowski;Total;Namibia;;Men's;Player
3;;Robert Lewandowski;Total;Nepal;;Men's;Player
10;;Robert Lewandowski;Total;Netherlands;;Men's;Player
5;;Robert Lewandowski;Total;New Caledonia;;Men's;Player
10;;Robert Lewandowski;Total;New Zealand;;Men's;Player
6;;Robert Lewandowski;Total;Nicaragua;;Men's;Player
10;;Robert Lewandowski;Total;Niger;;Men's;Player
13;;Robert Lewandowski;Total;Nigeria;;Men's;Player
15;;Robert Lewandowski;Total;North Macedonia;;Men's;Player
13;;Robert Lewandowski;Total;Northern Ireland;;Men's;Player
13;;Robert Lewandowski;Total;Norway;;Men's;Player
15;;Robert Lewandowski;Total;Oman;;Men's;Player
10;;Robert Lewandowski;Total;Pakistan;;Men's;Player
8;;Robert Lewandowski;Total;Palestine;;Men's;Player
10;;Robert Lewandowski;Total;Panama;;Men's;Player
11;;Robert Lewandowski;Total;Paraguay;;Men's;Player
9;;Robert Lewandowski;Total;Peru;;Men's;Player
10;;Robert Lewandowski;Total;Philippines;;Men's;Player
10;;Robert Lewandowski;Total;Poland;;Men's;Player
13;;Robert Lewandowski;Total;Portugal;;Men's;Player
11;;Robert Lewandowski;Total;Puerto Rico;;Men's;Player
4;;Robert Lewandowski;Total;Qatar;;Men's;Player
15;;Robert Lewandowski;Total;Republic of Ireland;;Men's;Player
15;;Robert Lewandowski;Total;Romania;;Men's;Player
15;;Robert Lewandowski;Total;Russia;;Men's;Player
6;;Robert Lewandowski;Total;Rwanda;;Men's;Player
5;;Robert Lewandowski;Total;Samoa;;Men's;Player
5;;Robert Lewandowski;Total;San Marino;;Men's;Player
1;;Robert Lewandowski;Total;São Tomé and Príncipe;;Men's;Player
15;;Robert Lewandowski;Total;Saudi Arabia;;Men's;Player
15;;Robert Lewandowski;Total;Scotland;;Men's;Player
13;;Robert Lewandowski;Total;Senegal;;Men's;Player
8;;Robert Lewandowski;Total;Serbia;;Men's;Player
13;;Robert Lewandowski;Total;Seychelles;;Men's;Player
5;;Robert Lewandowski;Total;Sierra Leone;;Men's;Player
15;;Robert Lewandowski;Total;Singapore;;Men's;Player
15;;Robert Lewandowski;Total;Slovakia;;Men's;Player
11;;Robert Lewandowski;Total;Slovenia;;Men's;Player
5;;Robert Lewandowski;Total;Somalia;;Men's;Player
15;;Robert Lewandowski;Total;South Africa;;Men's;Player
3;;Robert Lewandowski;Total;South Sudan;;Men's;Player
10;;Robert Lewandowski;Total;Spain;;Men's;Player
10;;Robert Lewandowski;Total;Sri Lanka;;Men's;Player
8;;Robert Lewandowski;Total;St Kitts and Nevis;;Men's;Player
10;;Robert Lewandowski;Total;St Lucia;;Men's;Player
5;;Robert Lewandowski;Total;Sudan;;Men's;Player
6;;Robert Lewandowski;Total;Suriname;;Men's;Player
10;;Robert Lewandowski;Total;Sweden;;Men's;Player
15;;Robert Lewandowski;Total;Switzerland;;Men's;Player
1;;Robert Lewandowski;Total;Syria;;Men's;Player
8;;Robert Lewandowski;Total;Tahiti;;Men's;Player
11;;Robert Lewandowski;Total;Tajikistan;;Men's;Player
6;;Robert Lewandowski;Total;Tanzania;;Men's;Player
10;;Robert Lewandowski;Total;Thailand;;Men's;Player
3;;Robert Lewandowski;Total;Timor-Leste;;Men's;Player
8;;Robert Lewandowski;Total;Togo;;Men's;Player
1;;Robert Lewandowski;Total;Tonga;;Men's;Player
10;;Robert Lewandowski;Total;Trinidad and Tobago;;Men's;Player
5;;Robert Lewandowski;Total;Tunisia;;Men's;Player
13;;Robert Lewandowski;Total;Turkey;;Men's;Player
6;;Robert Lewandowski;Total;Turkmenistan;;Men's;Player
9;;Robert Lewandowski;Total;Turks and Caicos Islands;;Men's;Player
9;;Robert Lewandowski;Total;Uganda;;Men's;Player
15;;Robert Lewandowski;Total;Ukraine;;Men's;Player
11;;Robert Lewandowski;Total;United Arab Emirates;;Men's;Player
13;;Robert Lewandowski;Total;Uruguay;;Men's;Player
10;;Robert Lewandowski;Total;US Virgin Islands;;Men's;Player
15;;Robert Lewandowski;Total;USA;;Men's;Player
7;;Robert Lewandowski;Total;Uzbekistan;;Men's;Player
5;;Robert Lewandowski;Total;Vanuatu;;Men's;Player
10;;Robert Lewandowski;Total;Venezuela;;Men's;Player
10;;Robert Lewandowski;Total;Vietnam;;Men's;Player
15;;Robert Lewandowski;Total;Wales;;Men's;Player
10;;Robert Lewandowski;Total;Yemen;;Men's;Player
13;;Robert Lewandowski;Total;Zambia;;Men's;Player
13;;Robert Lewandowski;Total;Zimbabwe;;Men's;Player
1;;Sadio Mané;Total;Afghanistan;;Men's;Player
5;;Sadio Mané;Total;Algeria;;Men's;Player
2;;Sadio Mané;Total;Angola;;Men's;Player
3;;Sadio Mané;Total;Anguilla;;Men's;Player
1;;Sadio Mané;Total;Antigua and Barbuda;;Men's;Player
5;;Sadio Mané;Total;Argentina;;Men's;Player
3;;Sadio Mané;Total;Azerbaijan;;Men's;Player
3;;Sadio Mané;Total;Bahamas;;Men's;Player
3;;Sadio Mané;Total;Bangladesh;;Men's;Player
9;;Sadio Mané;Total;Barbados;;Men's;Player
1;;Sadio Mané;Total;Belgium;;Men's;Player
11;;Sadio Mané;Total;Benin;;Men's;Player
10;;Sadio Mané;Total;Bermuda;;Men's;Player
1;;Sadio Mané;Total;Bhutan;;Men's;Player
3;;Sadio Mané;Total;Bosnia and Herzegovina;;Men's;Player
6;;Sadio Mané;Total;Botswana;;Men's;Player
1;;Sadio Mané;Total;Brazil;;Men's;Player
4;;Sadio Mané;Total;British Virgin Islands;;Men's;Player
1;;Sadio Mané;Total;Brunei Darussalam;;Men's;Player
1;;Sadio Mané;Total;Bulgaria;;Men's;Player
6;;Sadio Mané;Total;Burkina Faso;;Men's;Player
8;;Sadio Mané;Total;Burundi;;Men's;Player
3;;Sadio Mané;Total;Cabo Verde;;Men's;Player
3;;Sadio Mané;Total;Cameroon;;Men's;Player
1;;Sadio Mané;Total;Canada;;Men's;Player
3;;Sadio Mané;Total;Cayman Islands;;Men's;Player
5;;Sadio Mané;Total;Central African Republic;;Men's;Player
5;;Sadio Mané;Total;Chad;;Men's;Player
1;;Sadio Mané;Total;China PR;;Men's;Player
5;;Sadio Mané;Total;Comoros;;Men's;Player
2;;Sadio Mané;Total;Congo;;Men's;Player
5;;Sadio Mané;Total;Congo DR;;Men's;Player
6;;Sadio Mané;Total;Côte d'Ivoire;;Men's;Player
3;;Sadio Mané;Total;Croatia;;Men's;Player
1;;Sadio Mané;Total;Curaçao;;Men's;Player
1;;Sadio Mané;Total;Cyprus;;Men's;Player
3;;Sadio Mané;Total;Denmark;;Men's;Player
8;;Sadio Mané;Total;Djibouti;;Men's;Player
11;;Sadio Mané;Total;Dominica;;Men's;Player
4;;Sadio Mané;Total;Dominican Republic;;Men's;Player
1;;Sadio Mané;Total;El Salvador;;Men's;Player
1;;Sadio Mané;Total;England;;Men's;Player
5;;Sadio Mané;Total;Equatorial Guinea;;Men's;Player
3;;Sadio Mané;Total;Estonia;;Men's;Player
7;;Sadio Mané;Total;Eswatini;;Men's;Player
1;;Sadio Mané;Total;Ethiopia;;Men's;Player
3;;Sadio Mané;Total;Faroe Islands;;Men's;Player
3;;Sadio Mané;Total;Finland;;Men's;Player
1;;Sadio Mané;Total;France;;Men's;Player
5;;Sadio Mané;Total;Gabon;;Men's;Player
13;;Sadio Mané;Total;Gambia;;Men's;Player
13;;Sadio Mané;Total;Ghana;;Men's;Player
11;;Sadio Mané;Total;Guinea;;Men's;Player
1;;Sadio Mané;Total;Guinea-Bissau;;Men's;Player
5;;Sadio Mané;Total;Guyana;;Men's;Player
1;;Sadio Mané;Total;Iceland;;Men's;Player
9;;Sadio Mané;Total;India;;Men's;Player
3;;Sadio Mané;Total;IR Iran;;Men's;Player
1;;Sadio Mané;Total;Iraq;;Men's;Player
2;;Sadio Mané;Total;Jamaica;;Men's;Player
1;;Sadio Mané;Total;Japan;;Men's;Player
13;;Sadio Mané;Total;Kenya;;Men's;Player
3;;Sadio Mané;Total;Korea Republic;;Men's;Player
1;;Sadio Mané;Total;Kyrgyz Republic;;Men's;Player
5;;Sadio Mané;Total;Laos;;Men's;Player
1;;Sadio Mané;Total;Latvia;;Men's;Player
6;;Sadio Mané;Total;Lesotho;;Men's;Player
2;;Sadio Mané;Total;Liberia;;Men's;Player
3;;Sadio Mané;Total;Libya;;Men's;Player
3;;Sadio Mané;Total;Luxembourg;;Men's;Player
2;;Sadio Mané;Total;Madagascar;;Men's;Player
3;;Sadio Mané;Total;Malawi;;Men's;Player
9;;Sadio Mané;Total;Mali;;Men's;Player
11;;Sadio Mané;Total;Mauritania;;Men's;Player
6;;Sadio Mané;Total;Mauritius;;Men's;Player
1;;Sadio Mané;Total;Mexico;;Men's;Player
3;;Sadio Mané;Total;Montenegro;;Men's;Player
1;;Sadio Mané;Total;Montserrat;;Men's;Player
6;;Sadio Mané;Total;Morocco;;Men's;Player
1;;Sadio Mané;Total;Mozambique;;Men's;Player
6;;Sadio Mané;Total;Myanmar;;Men's;Player
4;;Sadio Mané;Total;Namibia;;Men's;Player
5;;Sadio Mané;Total;Netherlands;;Men's;Player
1;;Sadio Mané;Total;New Caledonia;;Men's;Player
1;;Sadio Mané;Total;Niger;;Men's;Player
5;;Sadio Mané;Total;Nigeria;;Men's;Player
1;;Sadio Mané;Total;Panama;;Men's;Player
1;;Sadio Mané;Total;Qatar;;Men's;Player
4;;Sadio Mané;Total;Russia;;Men's;Player
8;;Sadio Mané;Total;Rwanda;;Men's;Player
7;;Sadio Mané;Total;São Tomé and Príncipe;;Men's;Player
11;;Sadio Mané;Total;Senegal;;Men's;Player
1;;Sadio Mané;Total;Serbia;;Men's;Player
5;;Sadio Mané;Total;Seychelles;;Men's;Player
2;;Sadio Mané;Total;Sierra Leone;;Men's;Player
1;;Sadio Mané;Total;Singapore;;Men's;Player
1;;Sadio Mané;Total;Slovakia;;Men's;Player
5;;Sadio Mané;Total;Solomon Islands;;Men's;Player
3;;Sadio Mané;Total;Somalia;;Men's;Player
4;;Sadio Mané;Total;South Africa;;Men's;Player
13;;Sadio Mané;Total;South Sudan;;Men's;Player
